Epoch,N_Generated,Mean_MaxTanimoto,Median_MaxTanimoto,Novelty_T085,Novelty_T070
10,500,0.4039,0.3525,97.6,93.0
20,500,0.5016,0.4583,91.0,79.0
30,500,0.5569,0.538,87.2,69.6
40,500,0.5935,0.5685,82.6,64.2
50,500,0.6405,0.662,76.4,56.4
60,500,0.6871,0.7143,65.6,48.2
70,500,0.7122,0.7425,61.4,46.8
80,500,0.7669,0.8368,52.4,37.6
90,500,0.7858,0.858,48.8,33.2
100,500,0.7785,0.8662,48.0,35.6
110,500,0.8152,1.0,39.6,28.4
120,500,0.8335,1.0,39.2,26.8
130,500,0.8272,1.0,38.4,28.2
140,500,0.8594,1.0,32.2,21.6
150,500,0.8555,1.0,33.2,23.4
